Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
2432,Caio Henrique Oliveira Silva\30af8b93,br BRA,DF,Monaco,fr Ligue 1,24-278,1997,26.6,63.7,52.0,11.7,1.99,0.34,6.80,0.94,2.93,1.05,0.71,0.00,0.04,38.0,12.0,13.7,48.5,4.66,1.62,8.61,0.15,48.6,0.38,0.86,2.44,1.95,Matches
2433,David Silva\e2716bd0,es ESP,MF,Real Sociedad,es La Liga,36-117,1986,16.1,54.1,52.2,1.93,0.99,0.19,9.07,0.81,1.06,0.56,0.06,0.19,0.06,42.8,6.02,5.28,44.8,7.08,1.30,0.19,0.19,47.2,0.12,0.62,1.12,1.12,Matches
2434,Fábio Silva\e7aa9d7c,pt POR,FW,Wolves,eng Premier League,19-290,2002,6.2,20.0,17.9,2.10,0.00,0.16,5.32,0.32,0.65,0.00,0.00,0.00,0.00,14.4,3.23,2.42,0.97,16.5,0.97,0.00,0.16,14.2,0.00,0.00,1.29,1.13,Matches
2435,Gabriel Silva\4914ed4a,br BRA,DF,Saint-Étienne,fr Ligue 1,30-357,1991,6.9,44.1,31.3,12.8,0.87,0.00,4.35,0.58,0.43,0.00,0.00,0.00,0.00,19.4,12.0,12.6,20.6,7.68,2.32,11.9,0.14,32.8,0.29,0.72,1.74,1.88,Matches
2436,Jonathan Silva\f2308b33,ar ARG,DFMF,Getafe,es La Liga,27-310,1994,2.5,38.8,33.6,5.20,0.40,0.00,4.40,0.40,2.00,0.00,0.00,0.00,0.00,20.4,7.60,10.8,31.2,1.20,1.60,4.80,0.00,26.0,0.00,0.40,2.40,3.20,Matches
2437,Rui Silva\ea83bfa6,pt POR,GK,Betis,es La Liga,28-087,1994,18.0,31.6,20.7,10.9,3.72,0.00,1.17,0.39,0.00,0.00,0.00,0.00,0.00,16.4,0.89,14.3,16.7,8.72,0.06,0.00,4.44,22.8,0.11,0.94,0.56,0.22,Matches
2438,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,eng Premier League,37-225,1984,26.4,84.0,82.1,1.86,1.63,0.11,6.44,1.59,0.04,0.00,0.00,0.00,0.00,67.5,6.36,10.2,7.31,71.9,3.33,0.11,0.15,78.0,0.11,0.42,1.10,0.38,Matches
2439,Marco Silvestri\0d422df7,it ITA,GK,Udinese,it Serie A,31-064,1991,33.0,27.1,17.2,9.88,2.70,0.00,1.64,0.36,0.00,0.00,0.00,0.00,0.00,12.2,0.48,14.5,2.09,20.7,0.06,0.00,2.82,18.1,0.30,0.36,0.27,0.03,Matches
2440,Mohamed Simakan\fcb27134,fr FRA,DF,RB Leipzig,de Bundesliga,22-002,2000,21.3,60.4,58.6,1.78,1.55,0.00,7.18,0.75,0.19,0.00,0.00,0.00,0.00,48.1,4.79,7.51,5.63,50.0,2.39,0.09,0.61,53.1,0.23,0.85,1.13,0.47,Matches
2441,Giovanni Simeone\343c0d52,ar ARG,FW,Hellas Verona,it Serie A,26-304,1995,26.9,23.4,21.7,1.71,0.00,0.04,7.14,0.37,0.86,0.00,0.00,0.00,0.00,15.8,4.20,3.38,2.53,17.3,1.49,0.00,0.82,16.6,0.04,0.15,1.34,1.45,Matches
2442,Giovanni Simeone\343c0d52,ar ARG,FW,Cagliari,it Serie A,26-304,1995,0.1,40.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,10.0,0.00,0.00,30.0,10.0,0.00,0.00,20.0,0.00,0.00,0.00,10.0,Matches
2443,Giuliano Simeone\a6536561,ar ARG,DF,Atlético Madrid,es La Liga,19-138,2002,0.0,3,2,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,1,2,0,0,0,1,Matches
2444,Ellis Simms\26d3b5be,eng ENG,FW,Everton,eng Premier League,21-120,2001,0.7,21.4,21.4,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,5.71,12.9,2.86,2.86,8.57,5.71,0.00,0.00,11.4,0.00,2.86,0.00,0.00,Matches
2445,Moses Simon\5f3eaaf5,ng NGA,FWMF,Nantes,fr Ligue 1,26-297,1995,25.1,32.1,26.7,5.42,1.43,0.04,5.86,2.11,4.14,3.19,1.55,1.16,0.20,18.4,5.14,8.53,5.78,23.7,1.20,0.80,0.16,20.7,0.00,0.76,1.47,1.79,Matches
2446,Unai Simón\5dcf3e90,es ESP,GK,Athletic Club,es La Liga,24-328,1997,30.0,27.7,18.8,8.90,1.93,0.03,1.20,0.60,0.00,0.00,0.00,0.00,0.00,14.2,1.07,12.4,2.33,18.7,0.03,0.00,5.63,20.1,0.10,0.97,0.27,0.07,Matches
2447,Xavi Simons\da4d670f,nl NED,FWMF,Paris S-G,fr Ligue 1,19-014,2003,1.2,42.5,42.5,0.00,0.00,0.00,6.67,0.83,0.83,0.00,0.00,0.00,0.00,36.7,3.33,2.50,0.83,40.0,0.00,0.00,0.83,35.8,0.00,0.00,2.50,1.67,Matches
2448,Wilfried Singo\8b609c34,ci CIV,DF,Torino,it Serie A,21-131,2000,28.0,48.8,39.6,9.18,0.46,0.00,5.39,0.86,2.36,0.00,0.00,0.00,0.00,28.3,11.2,9.25,3.36,33.9,1.43,8.71,0.14,37.5,0.21,0.68,1.86,2.18,Matches
2449,Daley Sinkgraven\73000a79,nl NED,DF,Leverkusen,de Bundesliga,26-305,1995,3.1,56.5,46.5,10.0,0.65,0.32,7.74,0.65,1.61,0.00,0.00,0.00,0.00,35.2,13.2,8.06,36.1,8.39,1.61,9.35,0.00,46.1,0.32,1.29,0.97,1.29,Matches
2450,Hugo Siquet\c6cf860f,be BEL,DF,Freiburg,de Bundesliga,19-300,2002,0.2,80.0,65.0,15.0,0.00,0.00,20.0,10.0,5.00,0.00,0.00,0.00,0.00,50.0,10.0,20.0,25.0,40.0,0.00,15.0,0.00,65.0,0.00,0.00,10.0,0.00,Matches
2451,Salvatore Sirigu\10dc46f0,it ITA,GK,Genoa,it Serie A,35-113,1987,35.0,32.8,22.5,10.3,3.06,0.00,2.29,0.80,0.00,0.00,0.00,0.00,0.00,12.3,1.26,19.3,1.60,25.9,0.00,0.00,2.71,21.4,0.09,0.54,0.49,0.09,Matches
2452,Issouf Sissokho\792a9d41,ml MLI,MF,Bordeaux,fr Ligue 1,20-095,2002,4.8,44.6,44.4,0.21,0.21,0.21,9.38,0.00,0.83,0.00,0.00,0.00,0.00,36.5,3.96,4.17,6.25,37.7,0.42,0.00,0.21,38.5,0.21,0.21,1.46,1.88,Matches
2453,Ibrahima Sissoko\0f8418aa,fr FRA,MFDF,Strasbourg,fr Ligue 1,24-190,1997,25.1,41.4,40.9,0.52,0.36,0.12,7.77,0.96,0.88,0.00,0.00,0.00,0.00,29.8,5.74,5.86,7.77,29.6,1.75,0.08,0.24,33.5,0.16,0.80,1.39,1.20,Matches
2454,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,eng Premier League,32-262,1989,31.8,33.2,32.4,0.82,0.47,0.03,6.48,0.85,0.69,0.00,0.00,0.00,0.00,21.6,4.59,6.98,2.96,25.1,3.11,0.35,0.19,26.2,0.09,0.50,1.57,0.82,Matches
2455,Nelson Sissoko\12bd0579,fr FRA,DF,Saint-Étienne,fr Ligue 1,25-059,1997,0.5,20.0,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,10.0,2.00,0.00,8.00,2.00,10.0,0.00,16.0,0.00,0.00,2.00,0.00,Matches
2456,Sambou Sissoko\e4bb1f08,fr FRA,MFDF,Reims,fr Ligue 1,23-008,1999,2.0,48.5,36.0,12.5,2.50,0.00,8.00,1.00,0.50,0.00,0.00,0.00,0.00,26.5,12.0,10.0,7.50,27.0,2.00,10.0,0.00,35.5,0.00,1.50,2.00,2.00,Matches
2457,Antonio Sivera\9970da54,es ESP,GK,Alavés,es La Liga,25-267,1996,2.1,34.3,18.1,16.2,2.86,0.00,2.86,1.90,0.00,0.00,0.00,0.00,0.00,7.14,0.48,26.7,3.81,24.8,0.00,0.00,1.90,18.1,0.48,2.86,0.48,0.48,Matches
2458,Ellyes Skhiri\c2211709,tn TUN,MF,Köln,de Bundesliga,26-360,1995,18.2,45.8,43.7,2.09,1.98,0.00,8.30,1.26,0.38,0.00,0.00,0.00,0.00,32.6,5.16,8.08,4.67,36.3,3.08,0.11,0.27,38.8,0.11,0.60,1.10,0.77,Matches
2459,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,eng Premier League,21-231,2000,15.0,54.8,53.6,1.20,1.13,0.07,6.47,0.93,0.33,0.00,0.00,0.00,0.00,45.9,4.07,4.80,2.93,49.5,1.47,0.07,0.27,49.1,0.00,0.53,1.60,1.07,Matches
2460,Leo Skiri Østigård\b35a7399,no NOR,DF,Genoa,it Serie A,22-158,1999,10.0,42.5,41.6,0.90,0.80,0.00,7.50,1.10,0.30,0.00,0.00,0.00,0.00,20.6,4.60,17.3,6.10,25.5,6.90,0.10,0.00,30.0,0.10,0.80,0.90,0.50,Matches
2461,Łukasz Skorupski\ab4449d6,pl POL,GK,Bologna,it Serie A,31-000,1991,34.0,35.3,23.6,11.7,3.65,0.00,1.85,1.44,0.00,0.00,0.00,0.00,0.00,18.1,1.38,15.8,2.97,26.4,0.06,0.00,4.62,26.4,0.12,1.06,0.18,0.09,Matches
2462,Andreas Skov Olsen\c50cee19,dk DEN,DFFW,Bologna,it Serie A,22-127,1999,8.3,47.3,39.6,7.71,0.72,0.00,5.66,1.33,3.61,1.93,0.72,0.12,0.00,28.6,10.1,8.67,29.2,9.88,2.77,5.06,0.24,36.3,0.12,0.96,1.33,1.33,Matches
2463,Robert Skov\ff98492b,dk DEN,DFFW,Hoffenheim,de Bundesliga,25-350,1996,3.2,45.3,38.1,7.19,1.56,0.00,4.06,2.19,4.06,2.50,0.94,0.94,0.31,27.5,5.94,11.9,33.8,4.69,2.50,3.13,0.00,33.1,0.31,1.56,2.50,0.63,Matches
2464,Milan Škriniar\30f5ffa9,sk SVK,DF,Inter,it Serie A,27-083,1995,32.0,60.6,58.4,2.25,1.41,0.03,5.00,1.72,0.06,0.00,0.00,0.00,0.00,51.0,4.78,4.81,7.50,48.3,2.78,0.75,0.31,56.6,0.03,0.38,0.88,0.31,Matches
2465,Islam Slimani\ffec9769,dz ALG,FW,Lyon,fr Ligue 1,33-321,1988,6.4,30.2,28.8,1.41,0.00,0.47,6.88,0.31,0.31,0.00,0.00,0.00,0.00,21.9,5.63,2.66,4.84,20.6,1.41,0.16,1.25,23.6,0.16,0.63,1.25,0.63,Matches
2466,William Smallbone\5e105217,ie IRL,MFFW,Southampton,eng Premier League,22-073,2000,1.5,23.3,21.3,2.00,0.67,0.00,8.00,0.00,0.67,0.00,0.00,0.00,0.00,11.3,6.67,5.33,2.00,18.7,0.67,0.67,0.00,13.3,0.00,0.67,1.33,2.67,Matches
2467,Chris Smalling\b6964eb6,eng ENG,DF,Roma,it Serie A,32-164,1989,21.2,43.8,42.4,1.42,1.18,0.00,3.49,0.57,0.00,0.00,0.00,0.00,0.00,33.8,3.92,6.08,4.10,34.2,3.25,0.24,0.05,38.9,0.09,0.33,0.33,0.33,Matches
2468,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,eng Premier League,21-281,2000,20.3,38.5,36.7,1.82,0.20,0.15,4.83,0.74,1.03,1.13,0.84,0.15,0.00,31.3,3.40,3.84,6.80,30.1,0.89,0.34,0.15,32.9,0.10,0.25,0.99,0.69,Matches
2469,Cédric Soares\839c14e1,pt POR,DF,Arsenal,eng Premier League,30-247,1991,12.9,65.0,52.9,12.0,2.25,0.00,6.59,2.02,3.49,1.32,0.93,0.00,0.23,38.7,11.6,14.7,5.66,46.6,3.33,8.45,0.00,51.0,0.23,1.24,1.63,1.71,Matches
2470,Danilo Soares\c05f2f8c,br BRA,DF,Bochum,de Bundesliga,30-188,1991,26.5,57.8,44.5,13.4,1.51,0.00,7.81,0.38,1.92,0.04,0.00,0.00,0.00,29.9,12.9,15.0,30.1,11.6,2.87,11.8,0.30,43.0,0.26,1.89,2.19,1.92,Matches
2471,Rubén Sobrino\19b776e9,es ESP,MF,Valencia,es La Liga,29-338,1992,0.2,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches
2472,Rubén Sobrino\19b776e9,es ESP,FWMF,Cádiz,es La Liga,29-338,1992,17.6,24.2,23.1,1.08,0.11,0.00,6.14,0.34,0.57,0.06,0.00,0.06,0.00,16.5,4.15,3.58,2.90,17.5,1.53,0.28,0.45,17.7,0.17,0.40,1.31,1.14,Matches
2473,Alex Sola\5fa714d5,es ESP,DFFW,Real Sociedad,es La Liga,22-330,1999,0.5,42.0,30.0,12.0,2.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,26.0,8.00,8.00,8.00,22.0,2.00,10.0,0.00,30.0,0.00,0.00,0.00,4.00,Matches
2474,Augusto Solari\3ca6106c,ar ARG,MFDF,Celta Vigo,es La Liga,30-122,1992,6.4,54.5,50.0,4.53,0.31,0.16,7.97,1.25,4.69,0.16,0.00,0.16,0.00,32.7,9.06,12.8,1.88,45.2,2.97,3.91,0.16,37.0,0.31,1.56,1.56,2.34,Matches
2475,Roberto Soldado\9d66fbe3,es ESP,FW,Levante,es La Liga,36-343,1985,7.2,19.6,17.6,1.94,0.00,0.00,4.17,0.56,0.56,0.00,0.00,0.00,0.00,11.5,5.56,2.50,1.53,15.3,1.11,0.00,0.56,13.6,0.00,0.14,1.67,0.69,Matches
2476,Carlos Soler\fed17f5a,es ESP,MF,Valencia,es La Liga,25-123,1997,23.7,34.6,26.8,7.85,4.18,0.17,4.89,2.78,1.81,3.33,1.27,1.56,0.13,18.4,4.56,11.7,4.73,27.6,1.39,0.08,0.21,23.6,0.21,1.14,0.84,1.27,Matches
2477,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,de Bundesliga,33-139,1988,32.0,44.3,34.5,9.78,3.06,0.00,4.41,1.28,0.00,0.00,0.00,0.00,0.00,26.5,1.81,16.0,8.31,29.6,0.00,0.03,4.81,33.3,0.16,0.84,0.34,0.09,Matches
2478,Son\037dbd30,es ESP,DF,Levante,es La Liga,28-036,1994,18.9,48.0,38.3,9.68,0.63,0.05,5.03,1.69,1.69,0.05,0.05,0.00,0.00,24.4,12.5,11.1,6.51,30.4,1.75,8.99,0.05,35.5,0.48,0.95,1.96,1.53,Matches
2479,Brandon Soppy\28f66c2e,fr FRA,DFMF,Udinese,it Serie A,20-073,2002,7.9,26.2,22.9,3.29,0.63,0.00,5.32,0.25,1.01,0.13,0.00,0.00,0.00,16.8,5.06,4.30,1.27,20.5,1.01,2.53,0.00,18.4,0.13,0.76,1.14,2.15,Matches
2480,David Soria\8f8c6934,es ESP,GK,Getafe,es La Liga,29-031,1993,33.9,30.6,18.8,11.9,4.48,0.00,0.91,1.42,0.00,0.00,0.00,0.00,0.00,5.90,1.09,23.7,0.47,24.0,0.00,0.00,2.51,16.6,0.09,1.39,0.24,0.00,Matches
2481,Roberto Soriano\9d4c45d6,it ITA,MFFW,Bologna,it Serie A,31-086,1991,27.7,43.1,42.3,0.79,0.43,0.11,9.42,0.47,1.23,0.00,0.00,0.00,0.00,32.1,5.67,5.34,8.34,31.1,2.06,0.29,0.40,35.3,0.18,0.51,1.52,1.12,Matches
2482,Alberto Soro\452c3055,es ESP,MFFW,Granada,es La Liga,23-057,1999,6.4,27.7,25.8,1.88,0.31,0.16,7.81,0.63,1.09,0.16,0.00,0.16,0.00,17.8,5.16,4.69,19.7,4.38,1.41,0.63,0.00,19.4,0.00,0.78,1.72,1.41,Matches
2483,Borna Sosa\af0d79a9,hr CRO,DF,Stuttgart,de Bundesliga,24-104,1998,25.8,66.6,52.3,14.3,2.67,0.08,8.14,2.52,4.92,2.44,0.47,1.82,0.04,36.2,14.1,16.3,51.0,3.26,2.33,9.15,0.12,49.0,0.16,1.01,2.75,2.13,Matches
2484,Hugo Sotelo\3aa74860,es ESP,MF,Celta Vigo,es La Liga,18-137,2003,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,Matches
2485,Florian Sotoca\7a42d0df,fr FRA,FWMF,Lens,fr Ligue 1,31-192,1990,24.9,42.2,40.7,1.45,0.28,0.12,10.4,2.09,1.37,0.00,0.00,0.00,0.00,27.7,6.43,8.03,2.69,33.1,2.49,0.44,0.32,31.7,0.08,1.04,2.29,1.49,Matches
2486,Riccardo Sottil\94816803,it ITA,FW,Fiorentina,it Serie A,22-336,1999,13.8,28.0,27.6,0.36,0.07,0.00,5.07,1.30,3.04,0.00,0.00,0.00,0.00,20.9,3.33,3.77,5.43,20.6,1.01,0.22,0.14,21.8,0.07,0.58,0.58,1.74,Matches
2487,Tomáš Souček\6613c819,cz CZE,MF,West Ham,eng Premier League,27-067,1995,32.0,40.1,39.6,0.50,0.41,0.03,7.44,1.19,0.41,0.00,0.00,0.00,0.00,26.3,4.81,8.97,4.47,28.7,3.69,0.09,0.44,31.5,0.00,0.72,0.91,0.84,Matches
2488,Matìas Soulé\c13ddd3e,ar ARG,FW,Juventus,it Serie A,19-020,2003,0.1,70.0,70.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,60.0,0.00,10.0,70.0,0.00,0.00,0.00,0.00,70.0,0.00,0.00,0.00,0.00,Matches
2489,Sambou Soumano\7cc00776,sn SEN,FW,Lorient,fr Ligue 1,21-122,2001,4.9,18.8,16.7,2.04,0.00,0.00,5.92,0.82,0.61,0.00,0.00,0.00,0.00,9.80,5.51,3.47,4.49,9.80,1.22,0.20,0.61,12.4,0.00,1.02,0.41,1.63,Matches
2490,Adama Soumaoro\7b075c75,fr FRA,DF,Bologna,it Serie A,29-321,1992,23.2,41.6,39.5,2.11,1.64,0.00,4.66,0.39,0.13,0.00,0.00,0.00,0.00,32.8,3.62,5.22,2.46,34.2,2.93,0.47,0.26,37.2,0.04,0.34,0.47,0.60,Matches
2491,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,eng Premier League,23-067,1999,12.2,45.2,44.8,0.33,0.25,0.25,10.5,0.74,0.41,0.00,0.00,0.00,0.00,33.7,4.92,6.56,7.95,32.6,2.21,0.08,0.16,36.8,0.08,0.57,1.80,0.66,Matches
2492,Arnaud Souquet\4e0afc5d,fr FRA,DF,Montpellier,fr Ligue 1,30-082,1992,23.4,46.8,36.3,10.4,0.34,0.09,5.21,0.64,2.05,0.00,0.00,0.00,0.00,24.5,13.7,8.50,3.72,30.2,1.71,10.1,0.13,34.0,0.17,1.20,2.14,2.44,Matches
2493,Djibril Sow\4c6facae,ch SUI,MF,Eint Frankfurt,de Bundesliga,25-088,1997,25.5,45.8,44.9,0.90,0.75,0.04,8.16,0.71,0.24,0.00,0.00,0.00,0.00,34.5,4.98,6.35,6.75,35.9,1.88,0.16,0.24,39.0,0.12,0.63,1.41,0.78,Matches
2494,Saidou Sow\f6b94e8d,gn GUI,DF,Saint-Étienne,fr Ligue 1,19-305,2002,9.3,53.3,51.4,1.94,1.18,0.00,6.02,2.15,0.32,0.00,0.00,0.00,0.00,39.4,5.59,8.39,4.84,43.0,2.90,0.75,0.11,45.5,0.11,0.54,1.29,0.97,Matches
2495,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,eng Premier League,25-347,1996,27.7,65.8,64.0,1.73,1.48,0.00,7.08,1.81,0.18,0.00,0.00,0.00,0.00,50.3,4.55,10.9,14.5,45.9,2.85,0.14,0.29,56.7,0.18,1.05,1.05,0.54,Matches
2496,Marco Sportiello\ac4003af,it ITA,GK,Atalanta,it Serie A,29-360,1992,5.0,26.4,19.2,7.20,1.60,0.00,1.20,0.40,0.00,0.00,0.00,0.00,0.00,16.2,2.00,8.20,1.40,18.8,0.00,0.00,5.60,20.2,0.00,0.20,0.20,0.20,Matches
2497,Jerry St. Juste\90339309,nl NED,DF,Mainz 05,de Bundesliga,25-198,1996,6.7,43.1,40.4,2.69,2.54,0.00,5.82,1.04,0.45,0.00,0.00,0.00,0.00,28.7,4.78,9.70,4.18,33.6,2.99,0.00,0.00,33.4,0.00,0.60,0.90,1.64,Matches
2498,Anton Stach\0f59a7bf,de GER,MF,Mainz 05,de Bundesliga,23-171,1998,19.0,46.6,44.1,2.58,1.37,0.00,10.5,1.53,0.95,1.16,0.68,0.37,0.05,27.5,6.63,12.5,7.16,32.3,4.00,0.05,0.26,34.1,0.21,0.84,1.79,1.37,Matches
2499,Kostas Stafylidis\861e0116,gr GRE,DFMF,Bochum,de Bundesliga,28-154,1993,15.4,45.1,34.9,10.3,1.43,0.06,6.36,1.88,2.08,0.65,0.26,0.26,0.13,21.1,7.86,16.2,25.2,7.92,2.60,8.18,0.00,32.9,0.06,0.84,1.36,1.10,Matches
2500,Luca Stanga\2967bcd0,it ITA,DF,Milan,it Serie A,20-102,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,Matches
2501,Josip Stanišić\7ed08d5c,hr CRO,DF,Bayern Munich,de Bundesliga,22-033,2000,6.2,80.2,71.5,8.71,0.65,0.00,12.3,1.61,1.45,0.00,0.00,0.00,0.00,59.7,12.4,8.06,13.5,56.3,1.77,8.06,0.16,68.9,0.00,1.45,2.58,1.61,Matches
2502,Niklas Stark\aad48be9,de GER,DFMF,Hertha BSC,de Bundesliga,27-021,1995,22.6,44.5,42.3,2.17,2.04,0.04,6.33,1.24,0.04,0.00,0.00,0.00,0.00,30.8,4.69,9.03,2.26,36.2,3.89,0.13,0.09,37.3,0.13,0.71,0.80,0.44,Matches
2503,Jason Steele\28300a16,eng ENG,GK,Brighton,eng Premier League,31-260,1990,1.0,38.0,32.0,6.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,31.0,1.00,6.00,2.00,34.0,0.00,0.00,2.00,34.0,0.00,0.00,0.00,0.00,Matches
2504,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,eng Premier League,29-224,1992,1.0,36.0,27.0,9.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.0,0.00,12.0,19.0,10.0,0.00,0.00,6.00,27.0,0.00,0.00,0.00,0.00,Matches
2505,Renato Steffen\dd669209,ch SUI,FWMF,Wolfsburg,de Bundesliga,30-183,1991,10.7,40.2,36.4,3.83,0.19,0.00,6.07,1.59,2.52,0.09,0.00,0.09,0.00,23.6,7.94,8.60,29.3,3.93,2.43,3.36,0.19,30.9,0.56,1.12,1.31,1.03,Matches
2506,Zack Steffen\42130443,us USA,GK,Manchester City,eng Premier League,27-033,1995,1.0,38.0,29.0,9.00,2.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,29.0,1.00,8.00,3.00,28.0,1.00,0.00,6.00,33.0,0.00,1.00,0.00,0.00,Matches
2507,Calvin Stengs\8f7e6783,nl NED,MF,Nice,fr Ligue 1,23-138,1998,11.8,35.4,32.5,2.88,1.02,0.17,7.71,0.93,1.86,1.27,0.68,0.34,0.17,23.8,5.25,6.36,29.2,4.49,1.02,0.59,0.00,25.8,0.17,1.02,1.78,0.85,Matches
2508,Pascal Stenzel\99f7e9aa,de GER,DF,Stuttgart,de Bundesliga,26-046,1996,10.0,68.1,56.0,12.1,2.10,0.10,7.90,4.80,1.00,0.40,0.10,0.30,0.00,36.2,12.1,19.8,4.20,49.5,3.30,9.60,0.20,55.2,0.00,1.20,1.40,1.40,Matches
2509,Dale Stephens\653ee42d,eng ENG,MF,Burnley,eng Premier League,32-327,1989,1.4,40.7,40.7,0.00,0.00,0.00,10.0,0.71,0.00,0.00,0.00,0.00,0.00,25.0,6.43,9.29,3.57,33.6,2.86,0.00,0.00,31.4,0.00,0.71,1.43,0.71,Matches
2510,Jack Stephens\6adbc307,eng ENG,DF,Southampton,eng Premier League,28-098,1994,7.0,50.4,48.0,2.43,1.43,0.00,6.71,1.29,0.00,0.00,0.00,0.00,0.00,35.7,2.86,11.9,2.29,42.9,2.57,1.00,0.14,40.1,0.00,0.29,1.00,0.71,Matches
2511,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,eng Premier League,27-148,1994,21.3,37.7,37.2,0.47,0.14,0.05,5.92,0.28,2.16,0.09,0.00,0.05,0.00,31.6,2.91,3.10,3.38,33.6,0.23,0.14,0.19,31.2,0.19,0.28,1.17,1.83,Matches
2512,Finley Stevens\7e003182,wls WAL,DF,Brentford,eng Premier League,19-025,2003,0.2,40.0,40.0,0.00,0.00,0.00,10.0,5.00,0.00,0.00,0.00,0.00,0.00,15.0,15.0,10.0,0.00,30.0,5.00,0.00,0.00,25.0,0.00,5.00,0.00,0.00,Matches
2513,Angelo Stiller\3b1ed320,de GER,MF,Hoffenheim,de Bundesliga,21-031,2001,16.9,51.3,50.2,1.07,0.47,0.12,11.5,0.77,0.41,0.24,0.18,0.00,0.00,36.7,6.04,8.58,42.4,4.38,2.66,0.24,0.24,42.6,0.12,0.41,1.66,0.89,Matches
2514,Lars Stindl\7cd6badb,de GER,MFFW,M'Gladbach,de Bundesliga,33-252,1988,16.3,45.3,43.9,1.41,0.37,0.31,11.2,0.67,0.67,0.18,0.06,0.06,0.00,34.5,6.32,4.48,8.22,34.6,0.80,0.12,0.61,37.1,0.12,0.37,1.66,1.29,Matches
2515,Kevin Stöger\e5649a78,at AUT,MF,Mainz 05,de Bundesliga,28-251,1993,4.4,72.3,65.0,7.27,2.05,0.00,12.7,2.50,3.64,3.64,1.82,1.59,0.00,42.0,10.2,20.0,58.6,9.09,1.59,1.59,0.45,52.7,0.00,1.36,3.18,1.82,Matches
2516,Petar Stojanović\13b44b02,si SVN,DF,Empoli,it Serie A,26-210,1995,28.4,56.9,45.2,11.7,1.30,0.07,6.37,1.09,1.97,0.18,0.00,0.04,0.00,33.4,13.5,10.1,4.93,39.4,1.94,10.2,0.00,44.6,0.18,1.23,1.87,1.97,Matches
2517,John Stones\5eecec3d,eng ENG,DF,Manchester City,eng Premier League,27-342,1994,11.4,80.5,77.6,2.89,1.14,0.00,9.91,2.46,0.00,0.00,0.00,0.00,0.00,66.8,4.65,9.12,11.3,63.2,1.93,1.75,0.26,75.1,0.18,0.35,0.79,0.35,Matches
2518,Thomas Strakosha\339fe0e8,al ALB,GK,Lazio,it Serie A,27-047,1995,20.0,31.3,24.3,6.95,1.40,0.00,3.65,0.65,0.00,0.00,0.00,0.00,0.00,19.9,1.50,9.90,2.05,24.4,0.00,0.00,4.05,26.2,0.00,0.30,0.10,0.15,Matches
2519,Stefan Strandberg\6d5e62b0,no NOR,DF,Salernitana,it Serie A,31-284,1990,10.4,49.1,44.3,4.81,4.33,0.00,5.00,2.02,0.58,0.00,0.00,0.00,0.00,31.9,5.87,11.3,6.35,38.1,2.31,0.38,0.10,41.5,0.00,1.06,0.48,0.77,Matches
2520,Dávid Strelec\2cb9486d,sk SVK,FWMF,Spezia,it Serie A,21-031,2001,5.6,24.6,24.5,0.18,0.00,0.00,5.89,0.36,0.89,0.00,0.00,0.00,0.00,16.4,4.11,4.11,17.3,3.75,1.96,0.18,0.00,18.6,0.00,0.36,1.43,0.71,Matches
2521,Tobias Strobl\17780d2b,de GER,MFDF,Augsburg,de Bundesliga,31-358,1990,3.6,26.1,25.3,0.83,0.83,0.00,9.72,1.39,0.28,0.00,0.00,0.00,0.00,14.7,4.72,6.67,2.22,20.0,1.67,0.00,0.00,18.9,0.28,0.83,1.39,1.11,Matches
