Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
62,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-210,1998,28.7,1.46,0.80,0.73,0.52,0.21,0.80,1.95,41.1,1.15,9.27,3.10,33.5,3.62,2.96,2.68,1.22,0.17,0.03,1.05,2.47,3.94,1.43,0.03,Matches
63,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,22-038,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,10.0,50.0,0.00,10.0,10.0,5.00,0.00,0.00,5.00,5.00,5.00,5.00,0.00,Matches
64,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,18-106,2004,18.5,0.54,0.38,0.11,0.22,0.22,0.05,0.65,8.3,0.59,23.3,5.41,23.2,1.57,10.6,11.1,0.81,0.00,0.00,0.81,0.65,1.19,0.00,0.00,Matches
65,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-215,1992,32.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.16,0.06,40.0,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,Matches
66,Allan\cc700722,br BRA,MF,Everton,eng Premier League,31-117,1991,24.1,3.20,2.53,1.29,1.70,0.21,1.08,3.65,29.5,2.57,26.8,8.46,31.5,10.8,13.5,2.53,1.91,0.37,0.00,1.54,1.74,4.94,1.66,0.00,Matches
67,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,27-067,1995,14.7,1.56,1.02,0.48,0.68,0.41,0.41,1.09,37.5,0.68,12.6,3.33,26.5,3.33,5.24,4.01,0.88,0.14,0.00,0.75,0.68,2.24,0.14,0.00,Matches
68,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,26-024,1996,2.5,4.40,2.40,1.60,2.00,0.80,1.20,4.00,30.0,2.80,38.8,9.20,23.7,8.80,20.4,9.60,2.00,0.40,0.00,1.60,2.80,7.20,2.40,0.00,Matches
69,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,26-024,1996,7.3,2.60,0.96,1.51,0.82,0.27,0.68,2.33,29.4,1.64,28.6,7.53,26.3,11.1,12.6,4.93,3.42,0.68,0.00,2.74,2.33,4.93,1.64,0.00,Matches
70,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,28-084,1994,16.4,3.05,1.95,1.52,1.10,0.43,0.73,2.56,28.6,1.83,22.9,5.79,25.3,7.13,8.54,7.20,1.16,0.06,0.06,1.10,1.16,4.21,0.61,0.00,Matches
71,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,31-128,1990,21.6,1.90,1.20,0.93,0.60,0.37,0.65,1.34,48.3,0.69,12.6,3.56,28.2,5.46,4.03,3.15,1.67,0.28,0.00,1.39,2.96,4.86,2.50,0.00,Matches
