Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
67,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,27-067,1995,14.7,47.7,0.61,8.03,24.0,21.4,4.83,46.6,1.84,3.81,48.2,2.04,0.41,38.5,282.4,167.6,7.82,2.79,1.22,2.31,3.13,46.1,36.7,79.6,5.31,Matches
68,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,26-024,1996,7.3,45.3,3.15,11.9,23.6,13.3,2.74,44.0,0.68,2.47,27.8,0.96,0.27,29.2,124.4,61.1,2.33,0.82,0.00,1.64,2.47,35.9,27.3,76.0,4.25,Matches
69,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,26-024,1996,2.5,69.6,4.00,12.8,38.4,22.4,4.80,66.8,1.60,2.40,66.7,1.60,0.40,43.6,216.4,117.2,4.80,2.00,0.40,2.80,4.00,52.4,41.2,78.6,6.00,Matches
70,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,28-084,1994,16.4,38.7,1.10,7.93,16.3,17.4,2.99,38.3,1.04,2.07,50.0,1.40,0.12,27.8,169.3,78.4,4.09,0.98,0.55,1.34,2.01,34.5,24.2,70.3,2.87,Matches
71,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,31-128,1990,21.6,74.8,3.33,19.4,26.9,31.9,3.24,62.6,0.74,1.62,45.7,0.79,0.09,43.7,209.3,113.7,5.42,1.25,0.46,1.20,1.30,49.6,43.3,87.4,4.44,Matches
72,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-269,1998,13.4,59.4,7.09,27.3,27.5,7.24,1.42,53.9,0.37,0.52,71.4,0.37,0.00,29.0,148.0,72.2,2.31,0.97,0.00,0.22,0.15,29.1,27.5,94.6,0.45,Matches
73,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-318,1985,0.1,80.0,10.0,10.0,50.0,30.0,10.0,80.0,0.00,0.00,,0.00,0.00,20.0,130.0,30.0,0.00,0.00,0.00,0.00,10.0,50.0,40.0,80.0,10.0,Matches
74,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,27-101,1995,18.7,58.6,8.45,31.1,28.9,2.99,0.64,56.5,0.21,0.37,57.1,0.27,0.00,29.7,218.2,117.8,2.35,0.64,0.00,0.11,0.27,32.2,31.8,98.7,0.11,Matches
75,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,38-364,1983,8.3,96.6,1.69,18.4,60.5,24.9,0.72,84.1,0.84,1.08,77.8,0.84,0.12,68.9,296.6,172.9,9.04,4.22,0.00,0.60,0.48,68.7,66.9,97.4,1.81,Matches
76,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-239,1998,4.5,63.8,3.56,18.0,37.3,12.4,0.89,63.3,1.11,1.33,83.3,1.11,0.22,41.1,168.7,89.6,4.44,1.78,0.22,1.11,0.89,41.8,38.9,93.1,1.56,Matches
77,Ibrahim Amadou\9260926b,fr FRA,DFMF,Metz,fr Ligue 1,29-029,1993,9.0,58.4,5.44,30.9,30.2,1.44,0.44,57.4,0.44,0.56,80.0,0.44,0.00,40.0,180.7,103.0,1.11,0.11,0.00,0.78,0.89,41.8,40.9,97.9,0.22,Matches
78,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-166,2001,0.9,54.4,1.11,12.2,30.0,15.6,3.33,45.6,3.33,4.44,75.0,3.33,0.00,28.9,183.3,122.2,6.67,1.11,1.11,2.22,0.00,36.7,27.8,75.8,2.22,Matches
79,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,27-135,1994,20.1,69.8,11.9,39.1,32.3,1.74,0.25,68.8,0.25,0.35,71.4,0.25,0.00,47.7,199.3,108.3,1.94,0.45,0.00,0.20,0.10,50.7,49.7,97.8,0.05,Matches
80,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-293,1996,9.8,35.5,1.33,6.53,16.6,15.4,3.06,34.8,1.63,3.06,53.3,1.73,0.41,24.5,123.1,68.8,3.78,1.43,0.61,2.24,1.84,36.6,23.1,63.0,5.10,Matches
81,Jordan Amavi\22721b88,fr FRA,DF,Nice,fr Ligue 1,28-057,1994,4.0,79.5,2.50,22.3,49.3,13.3,0.00,70.3,2.00,3.25,61.5,2.00,0.00,52.0,221.5,109.8,3.75,1.25,0.00,0.75,1.75,51.0,49.0,96.1,1.75,Matches
