Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
2211,Marco Richter\f972644c,de GER,FWMF,Hertha BSC,de Bundesliga,24-162,1997,18.4,46.7,1.68,9.62,21.4,19.5,2.99,44.7,0.82,2.34,34.9,0.92,0.22,29.9,131.8,74.9,4.24,1.36,0.65,2.83,2.93,42.0,29.1,69.3,5.27,Matches
2212,Diego Rico\d9ba39fc,es ESP,DF,Real Sociedad,es La Liga,29-071,1993,14.4,74.2,4.65,23.1,33.3,20.8,0.63,61.1,0.69,1.81,38.5,0.90,0.14,40.9,146.9,77.4,3.06,1.18,0.14,0.90,0.35,41.1,38.8,94.4,1.25,Matches
2213,Sergio Rico\5f0241b2,es ESP,GK,Mallorca,es La Liga,28-246,1993,13.0,27.9,24.6,27.8,0.08,0.00,0.00,17.8,0.00,0.00,,0.00,0.00,11.1,48.6,23.4,0.00,0.00,0.00,0.08,0.00,9.54,9.54,100.0,0.00,Matches
2214,Sergio Rico\5f0241b2,es ESP,GK,Paris S-G,fr Ligue 1,28-246,1993,0.3,36.7,33.3,36.7,0.00,0.00,0.00,30.0,0.00,0.00,,0.00,0.00,16.7,60.0,26.7,0.00,0.00,0.00,0.00,0.00,13.3,13.3,100.0,0.00,Matches
2215,Jaïro Riedewald\7a1f2c08,nl NED,MF,Crystal Palace,eng Premier League,25-238,1996,1.3,50.8,1.54,14.6,30.0,11.5,0.77,46.9,0.00,1.54,0.0,0.00,0.00,33.1,143.8,56.2,3.08,1.54,0.00,0.77,0.77,35.4,31.5,89.1,2.31,Matches
2216,Manuel Riemann\9f941969,de GER,GK,Bochum,de Bundesliga,33-238,1988,30.0,55.0,41.3,53.5,2.23,0.03,0.03,42.8,0.00,0.00,,0.00,0.00,31.4,181.7,116.8,0.03,0.00,0.00,0.10,0.03,29.5,29.4,99.7,0.00,Matches
2217,Tomás Rincón\f1cfc209,ve VEN,MFFW,Torino,it Serie A,34-112,1988,1.8,61.1,2.78,13.9,35.6,14.4,0.56,58.9,1.11,1.11,100.0,1.11,0.00,35.6,179.4,102.2,3.89,0.00,0.56,0.56,1.11,42.8,38.9,90.9,0.56,Matches
2218,Tomás Rincón\f1cfc209,ve VEN,MF,Sampdoria,it Serie A,34-112,1988,10.0,60.1,2.20,17.6,37.5,8.30,0.10,58.5,0.80,1.00,80.0,0.80,0.00,41.8,158.6,80.7,2.80,0.80,0.10,1.00,1.00,44.4,41.6,93.7,1.20,Matches
2219,Luis Rioja\eb3dd471,es ESP,FWMF,Alavés,es La Liga,28-201,1993,31.8,39.2,0.85,6.29,15.6,21.3,3.02,37.5,1.86,3.71,50.0,2.14,0.25,28.2,168.2,111.5,5.82,1.95,1.19,2.30,2.04,36.7,25.1,68.4,4.34,Matches
2220,Renaud Ripart\beae3a73,fr FRA,FWDF,Troyes,fr Ligue 1,29-052,1993,18.2,46.3,1.54,8.46,22.1,18.5,3.57,44.0,1.04,2.36,44.2,1.10,0.11,30.4,131.5,73.1,3.13,1.04,0.22,1.81,2.20,44.6,32.7,73.5,6.32,Matches
2221,Mihailo Ristić\ea0aa7e0,rs SRB,DF,Montpellier,fr Ligue 1,26-186,1995,18.0,65.1,4.56,22.8,31.8,15.5,0.89,54.6,1.17,1.89,61.8,1.22,0.06,36.9,221.6,128.9,5.28,1.44,0.06,0.89,0.94,40.0,36.7,91.7,2.28,Matches
2222,Matt Ritchie\71ef519e,sct SCO,DF,Newcastle Utd,eng Premier League,32-237,1989,14.8,55.7,3.04,17.6,23.0,17.3,0.61,43.5,0.20,0.34,60.0,0.20,0.07,27.4,106.6,48.7,2.03,0.61,0.00,0.47,0.27,29.7,27.2,91.8,0.88,Matches
2223,Maxence Rivera\46a7b605,fr FRA,FW,Saint-Étienne,fr Ligue 1,19-340,2002,0.1,20.0,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,100.0,0.00,Matches
2224,Rober\c00097d2,es ESP,DF,Levante,es La Liga,27-078,1995,19.5,57.8,8.31,33.5,24.3,3.64,0.56,56.3,0.21,0.26,80.0,0.21,0.00,34.1,191.0,108.1,2.72,0.92,0.00,0.36,0.15,36.1,35.2,97.6,0.15,Matches
2225,Sergi Roberto\335fa267,es ESP,MFDF,Barcelona,es La Liga,30-087,1992,4.4,68.0,2.27,13.9,36.1,21.4,1.82,64.1,1.14,1.14,100.0,1.14,0.23,46.1,212.5,111.8,4.32,1.36,0.00,1.36,0.68,55.7,49.3,88.6,2.73,Matches
2226,Connor Roberts\24fae784,wls WAL,DF,Burnley,eng Premier League,26-224,1995,15.3,55.8,4.58,16.3,26.5,15.4,0.78,44.8,0.52,0.85,61.5,0.52,0.20,26.7,130.1,72.2,3.46,1.50,0.26,0.46,0.20,28.2,25.6,90.7,0.98,Matches
2227,Patrick Roberts\59d93937,eng ENG,DF,Troyes,fr Ligue 1,25-089,1997,0.2,40.0,0.00,5.00,15.0,20.0,5.00,40.0,0.00,0.00,,0.00,0.00,40.0,110.0,70.0,5.00,0.00,0.00,0.00,5.00,30.0,30.0,100.0,0.00,Matches
2228,Tyler Roberts\6c17e046,wls WAL,MFFW,Leeds United,eng Premier League,23-113,1999,11.0,39.5,1.09,6.45,19.4,17.4,4.45,38.2,0.82,2.00,40.9,0.82,0.00,28.2,161.6,74.1,3.91,1.64,0.73,1.91,1.18,40.9,27.3,66.7,7.18,Matches
2229,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,eng Premier League,28-055,1994,26.5,88.9,2.98,19.7,43.2,31.5,3.28,76.6,0.53,1.06,50.0,0.60,0.04,56.1,254.9,160.5,7.02,2.49,0.34,0.57,0.72,65.0,59.7,91.9,4.11,Matches
2230,Marc Roca\da27e268,es ESP,MF,Bayern Munich,de Bundesliga,25-160,1996,4.0,81.0,1.75,16.8,48.5,20.5,1.25,78.8,0.75,1.25,60.0,0.75,0.00,54.8,198.8,105.5,4.75,1.00,0.25,0.75,2.00,59.5,56.8,95.4,2.00,Matches
2231,Rubén Rochina\ecd8c01e,es ESP,MFFW,Granada,es La Liga,31-043,1991,8.3,60.6,1.57,8.31,34.3,21.6,0.96,56.3,0.96,1.93,50.0,1.20,0.00,41.0,209.0,89.5,3.98,1.45,0.12,3.01,1.93,48.9,41.2,84.2,3.61,Matches
2232,Cimo Röcker\611b1aae,de GER,DF,Hertha BSC,de Bundesliga,28-104,1994,0.2,90.0,5.00,55.0,30.0,5.00,5.00,90.0,0.00,0.00,,0.00,0.00,45.0,215.0,85.0,0.00,0.00,0.00,0.00,0.00,65.0,65.0,100.0,5.00,Matches
2233,Enzo Roco\37f827ec,cl CHI,DF,Elche,es La Liga,29-262,1992,25.4,49.2,9.21,29.7,20.4,1.14,0.59,46.9,0.04,0.24,16.7,0.08,0.00,25.8,127.5,59.3,1.38,0.12,0.00,0.20,0.20,28.7,28.1,97.8,0.24,Matches
2234,Stian Rode Gregersen\5f011e05,no NOR,DF,Bordeaux,fr Ligue 1,26-353,1995,21.7,54.1,8.89,32.9,21.5,3.00,0.60,53.2,0.28,0.51,54.5,0.37,0.05,31.8,170.9,93.9,2.03,0.74,0.09,0.18,0.28,33.6,33.1,98.5,0.28,Matches
2235,Sebastian Rode\e12b0b5b,de GER,MF,Eint Frankfurt,de Bundesliga,31-206,1990,7.9,60.6,2.15,14.1,36.2,13.0,1.39,59.6,0.25,0.38,66.7,0.25,0.00,33.2,139.7,68.9,3.04,0.63,0.13,0.63,0.76,42.3,37.0,87.4,2.15,Matches
2236,Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,eng Premier League,24-195,1997,0.9,34.4,11.1,20.0,15.6,1.11,0.00,34.4,0.00,0.00,,0.00,0.00,17.8,54.4,5.56,0.00,0.00,0.00,0.00,0.00,18.9,16.7,88.2,0.00,Matches
2237,Rodri\6434f10d,es ESP,MF,Manchester City,eng Premier League,25-317,1996,28.0,95.9,3.04,19.3,60.5,21.9,1.82,94.9,0.29,0.57,50.0,0.32,0.04,67.1,285.4,146.9,6.32,1.36,0.25,0.39,0.86,76.1,73.8,96.9,1.86,Matches
2238,Rodrigo\85bed4ee,es ESP,FW,Betis,es La Liga,21-354,2000,8.6,54.7,0.81,7.33,24.4,27.1,4.07,54.2,1.51,2.56,59.1,1.63,0.00,44.8,253.0,124.8,7.09,2.33,0.81,2.09,0.81,52.1,43.0,82.6,5.23,Matches
2239,Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,eng Premier League,31-060,1991,21.8,48.1,1.47,7.48,25.2,18.9,3.26,45.8,0.69,1.83,37.5,0.73,0.00,32.7,163.4,74.3,4.08,1.61,0.46,2.39,1.33,48.4,35.4,73.1,7.71,Matches
2240,Gerson Rodrigues\3814b753,lu LUX,FW,Troyes,fr Ligue 1,26-319,1995,9.4,42.6,0.64,3.72,23.9,18.0,3.19,40.0,1.38,3.51,39.4,1.70,0.32,31.5,135.0,75.5,4.36,1.28,0.32,4.57,4.89,46.2,31.2,67.5,6.91,Matches
2241,Kévin Rodrigues\f1bed920,pt POR,DFFW,Rayo Vallecano,es La Liga,28-061,1994,3.8,54.2,1.58,16.3,28.2,12.1,0.79,42.9,0.53,1.32,40.0,1.05,0.53,28.2,140.3,76.6,3.16,1.58,0.00,1.32,0.53,29.2,24.5,83.8,1.32,Matches
2242,Óscar Rodríguez Arnaiz\19709006,es ESP,MFFW,Getafe,es La Liga,23-311,1998,8.6,49.3,1.05,7.44,27.7,18.7,1.28,44.7,1.16,1.98,58.8,1.28,0.00,30.8,155.9,73.7,2.79,2.21,0.35,1.86,1.16,36.7,31.2,84.8,2.79,Matches
2243,Óscar Rodríguez Arnaiz\19709006,es ESP,FWMF,Sevilla,es La Liga,23-311,1998,4.6,59.6,2.17,10.7,28.9,24.8,3.26,56.1,1.96,3.48,56.3,1.96,0.22,43.3,198.0,87.8,5.00,1.96,0.43,2.61,1.30,51.7,44.1,85.3,5.87,Matches
2244,Ángel Rodríguez\8cfc2f69,es ESP,FW,Mallorca,es La Liga,35-009,1987,14.6,26.4,1.23,3.49,13.6,11.5,3.15,25.9,0.89,1.37,65.0,0.89,0.07,16.4,91.2,42.9,2.19,1.03,0.41,1.64,1.85,34.0,17.4,51.2,5.48,Matches
2245,Dani Rodríguez\70f8e0bd,es ESP,MFFW,Mallorca,es La Liga,33-333,1988,29.9,43.7,1.14,6.79,23.1,17.6,2.78,41.8,1.81,3.11,58.1,2.01,0.20,31.0,164.7,84.5,3.61,1.47,0.50,1.84,2.78,37.7,29.2,77.4,3.98,Matches
2246,Guido Rodríguez\34e393f2,ar ARG,MF,Betis,es La Liga,28-023,1994,24.1,61.7,3.69,20.2,37.5,7.05,0.50,60.1,0.66,0.83,80.0,0.66,0.00,39.8,153.1,64.4,2.61,0.66,0.00,0.71,0.54,40.7,38.6,94.7,0.37,Matches
2247,Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,eng Premier League,32-280,1989,15.4,31.8,0.91,4.74,14.4,14.3,3.57,31.6,0.71,1.17,61.1,0.84,0.13,15.3,84.9,41.2,2.14,0.84,0.19,1.56,0.84,44.4,21.8,49.0,4.29,Matches
2248,Ricardo Rodríguez\7f78ad23,ch SUI,DF,Torino,it Serie A,29-253,1992,25.0,62.6,4.16,22.7,35.3,9.76,0.48,59.2,0.16,0.20,80.0,0.16,0.00,42.4,254.6,143.2,5.32,2.00,0.12,0.28,0.12,42.2,41.6,98.6,0.44,Matches
2249,Rodrygo\8f5e92a6,br BRA,FW,Real Madrid,es La Liga,21-116,2001,13.1,58.2,0.38,5.04,23.3,33.7,7.86,55.6,1.76,4.20,41.8,1.98,0.15,45.8,243.9,161.2,10.2,1.91,2.60,3.05,1.37,60.1,45.8,76.2,8.55,Matches
2250,Mads Roerslev\57c94db2,dk DEN,DF,Brentford,eng Premier League,22-315,1999,13.6,35.9,3.38,14.0,12.9,10.1,0.88,34.2,0.22,1.10,20.0,0.44,0.00,18.8,74.9,29.6,1.54,0.37,0.07,0.66,0.88,24.4,18.9,77.4,1.84,Matches
2251,Marko Rog\b6b2b820,hr CRO,MF,Cagliari,it Serie A,26-290,1995,1.6,62.5,1.88,11.3,28.8,30.6,1.25,58.8,1.25,2.50,50.0,1.88,0.00,43.1,178.8,110.6,2.50,5.00,0.00,2.50,1.88,44.4,40.0,90.1,3.75,Matches
2252,Rogério\10e7f486,br BRA,DF,Sassuolo,it Serie A,24-112,1998,18.2,70.6,4.12,23.3,33.5,18.8,0.93,62.5,0.44,0.99,44.4,0.60,0.16,47.9,267.4,146.2,6.54,2.36,0.33,0.88,0.99,49.7,47.2,95.0,2.20,Matches
2253,Alessio Romagnoli\3ead85f9,it ITA,DF,Milan,it Serie A,27-113,1995,15.5,71.0,7.87,34.4,37.3,3.16,1.29,68.1,0.13,0.13,100.0,0.13,0.00,45.2,215.4,92.0,2.19,0.32,0.00,0.06,0.06,51.2,49.4,96.6,0.32,Matches
2254,Simone Romagnoli\09899de8,it ITA,DF,Empoli,it Serie A,32-085,1990,14.6,57.5,11.8,33.1,25.7,2.53,0.89,54.1,0.07,0.14,50.0,0.07,0.00,29.9,225.9,122.9,1.30,0.34,0.00,0.07,0.00,31.2,30.8,98.9,0.14,Matches
2255,Leonardo Román\924ff27e,es ESP,GK,Mallorca,es La Liga,21-303,2000,2.0,38.5,34.5,38.0,0.50,0.00,0.00,27.0,0.50,0.50,100.0,0.50,0.00,14.0,70.0,30.0,0.00,0.00,0.00,0.00,0.00,14.0,14.0,100.0,0.00,Matches
2256,Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,eng Premier League,24-008,1998,19.5,75.2,11.7,40.2,35.9,4.41,0.92,73.6,0.46,0.67,69.2,0.51,0.00,50.5,273.1,155.9,3.90,1.03,0.10,0.56,0.36,52.0,50.5,97.1,0.36,Matches
2257,Iván Romero\2fbe6af0,es ESP,FW,Sevilla,es La Liga,21-025,2001,2.0,32.0,0.00,1.00,16.0,16.5,3.50,30.5,0.50,1.50,33.3,0.50,0.00,24.0,89.5,33.0,2.50,0.50,0.50,3.00,3.50,41.5,22.0,53.0,12.0,Matches
2258,Luka Romero\ca6edaa0,ar ARG,FW,Lazio,it Serie A,17-168,2004,0.6,66.7,0.00,1.67,33.3,43.3,3.33,61.7,1.67,3.33,50.0,1.67,0.00,53.3,496.7,216.7,15.0,5.00,0.00,1.67,1.67,63.3,50.0,78.9,5.00,Matches
2259,Sergio Romero\1e26e376,ar ARG,GK,Venezia,it Serie A,35-072,1987,16.0,40.8,37.3,40.4,0.44,0.00,0.00,29.1,0.00,0.00,,0.00,0.00,17.8,79.0,51.3,0.00,0.00,0.00,0.06,0.00,16.4,16.3,99.2,0.00,Matches
2260,Oriol Romeu\4b511457,es ESP,MF,Southampton,eng Premier League,30-223,1991,30.8,62.5,2.79,15.0,38.3,13.2,1.72,61.5,0.75,1.10,67.6,0.75,0.00,39.5,191.9,99.3,4.45,1.40,0.16,0.88,0.62,41.5,39.4,94.9,1.17,Matches
2261,Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,eng Premier League,37-089,1985,26.3,43.4,1.18,3.61,20.0,21.8,6.77,42.0,0.72,1.37,52.8,0.80,0.00,28.0,125.3,74.3,5.13,1.22,1.25,1.63,1.48,55.1,35.2,63.9,7.87,Matches
2262,Cristiano Ronaldo\dea698d9,pt POR,FW,Juventus,it Serie A,37-089,1985,0.3,56.7,0.00,6.67,30.0,26.7,6.67,53.3,0.00,0.00,,0.00,0.00,40.0,243.3,110.0,6.67,6.67,0.00,0.00,6.67,46.7,40.0,85.7,10.0,Matches
2263,Salomón Rondón\b318a643,ve VEN,FW,Everton,eng Premier League,32-231,1989,8.5,33.3,1.53,3.18,14.4,16.5,6.12,32.6,0.47,0.94,50.0,0.47,0.00,15.1,56.1,22.0,1.06,0.12,0.12,2.71,1.06,48.1,23.2,48.2,5.53,Matches
2264,Valentin Rongier\ed45c4a5,fr FRA,MFDF,Marseille,fr Ligue 1,27-149,1994,21.4,91.5,1.82,21.2,57.3,19.5,1.12,85.3,1.03,1.59,64.7,1.03,0.05,62.8,312.3,167.3,7.38,1.78,0.23,0.79,0.61,71.7,67.9,94.7,3.08,Matches
2265,Marten de Roon\2a1beb34,nl NED,MFDF,Atalanta,it Serie A,31-037,1991,25.3,68.5,2.81,19.5,39.4,13.9,0.71,66.3,0.16,0.40,40.0,0.16,0.00,43.2,193.2,94.3,3.28,1.07,0.00,0.36,0.16,45.8,44.0,96.0,0.63,Matches
2266,Pablo Rosario\1a6b7ea4,nl NED,MF,Nice,fr Ligue 1,25-118,1997,27.9,66.2,2.72,14.3,44.6,10.4,0.61,65.1,0.65,1.04,62.1,0.65,0.07,43.3,171.6,92.9,4.55,0.93,0.07,0.65,0.61,49.7,47.5,95.5,1.18,Matches
2267,Romario Rösch\87ebfdb8,de GER,MF,Mainz 05,de Bundesliga,22-308,1999,0.0,3,0,0,1,3,0,3,0,1,0.0,0,0,2,0,0,0,0,0,1,0,4,2,50.0,0,Matches
2268,Danny Rose\89d10e53,eng ENG,DF,Watford,eng Premier League,31-307,1990,7.7,53.1,4.42,17.9,23.4,14.5,0.52,39.6,1.17,1.95,60.0,1.17,0.26,22.7,108.2,66.0,3.25,1.04,0.00,0.52,0.78,24.9,22.5,90.1,0.78,Matches
2269,Francesco Rossi\7b5f516f,it ITA,GK,Atalanta,it Serie A,31-008,1991,0.4,42.5,42.5,42.5,0.00,0.00,0.00,30.0,0.00,0.00,,0.00,0.00,27.5,145.0,47.5,0.00,0.00,0.00,0.00,0.00,25.0,25.0,100.0,0.00,Matches
2270,Tom Rothe\90c1f9a4,de GER,DF,Dortmund,de Bundesliga,17-188,2004,1.0,76.0,4.00,24.0,31.0,22.0,3.00,65.0,1.00,4.00,25.0,1.00,1.00,46.0,129.0,40.0,2.00,1.00,0.00,0.00,1.00,46.0,42.0,91.3,4.00,Matches
2271,Jérôme Roussillon\13203c45,fr FRA,DF,Wolfsburg,de Bundesliga,29-119,1993,19.5,57.8,3.18,14.8,30.4,15.7,1.28,49.5,1.18,2.51,46.9,1.33,0.31,34.4,160.7,88.4,4.15,1.13,0.31,0.97,1.28,39.2,33.9,86.4,3.03,Matches
2272,Nicolò Rovella\e58cbfd5,it ITA,MF,Genoa,it Serie A,20-152,2001,16.0,69.4,2.44,15.3,39.3,19.1,0.69,60.4,1.13,1.75,64.3,1.19,0.06,44.1,247.3,120.4,4.56,1.31,0.13,0.63,1.19,47.0,41.8,88.8,1.69,Matches
2273,Jon Rowe\8c12f884,eng ENG,FWMF,Norwich City,eng Premier League,19-005,2003,2.1,49.5,0.95,8.57,22.4,23.3,4.76,48.6,1.90,4.76,40.0,2.38,0.00,38.1,192.4,103.8,5.71,1.90,0.48,0.95,4.29,51.0,32.4,63.6,5.71,Matches
2274,Amir Rrahmani\4b3e1a38,xk KVX,DF,Napoli,it Serie A,28-070,1994,30.5,69.3,10.4,35.9,34.4,2.62,0.92,66.5,0.13,0.16,80.0,0.13,0.00,45.0,213.9,113.4,2.66,0.36,0.00,0.13,0.23,50.2,49.7,98.9,0.13,Matches
2275,Ruan\a378a02a,br BRA,DF,Sassuolo,it Serie A,22-332,1999,2.2,61.8,14.5,35.5,21.8,5.45,0.00,55.0,3.18,3.64,87.5,3.18,0.45,35.0,169.5,88.6,2.73,0.45,0.00,0.45,0.91,28.6,26.4,92.1,0.45,Matches
2276,Rubén\35d4f151,es ESP,DF,Espanyol,es La Liga,21-090,2001,0.2,80.0,5.00,20.0,55.0,10.0,0.00,80.0,5.00,5.00,100.0,5.00,0.00,45.0,345.0,225.0,5.00,0.00,0.00,0.00,0.00,45.0,45.0,100.0,5.00,Matches
2277,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,eng Premier League,29-063,1993,30.0,81.9,6.97,33.3,45.0,9.67,1.53,80.2,0.17,0.23,71.4,0.17,0.00,58.9,276.5,164.5,5.50,1.90,0.10,0.30,0.60,64.9,63.2,97.3,0.53,Matches
2278,Sebastian Rudy\80f36c88,de GER,MF,Hoffenheim,de Bundesliga,32-066,1990,8.0,59.8,2.13,13.5,32.1,17.5,1.63,56.9,0.25,0.25,100.0,0.25,0.00,31.8,145.0,81.9,1.88,1.00,0.13,0.75,0.75,42.3,37.9,89.6,3.63,Matches
2279,Daniele Rugani\14b8fcdf,it ITA,DF,Juventus,it Serie A,27-280,1994,8.3,63.4,11.2,32.5,32.9,1.57,0.72,61.2,0.00,0.00,,0.00,0.00,42.7,183.6,91.1,1.57,0.00,0.00,0.12,0.12,47.1,46.7,99.2,0.00,Matches
2280,Matteo Ruggeri\ae9898c5,it ITA,DF,Salernitana,it Serie A,19-298,2002,5.4,53.0,6.48,18.9,22.6,14.1,1.11,45.0,0.37,0.56,66.7,0.37,0.00,25.6,133.0,65.9,1.85,1.11,0.00,0.37,0.93,29.3,27.2,93.0,0.56,Matches
2281,Mário Rui\0b5a292a,pt POR,DF,Napoli,it Serie A,30-343,1991,31.4,82.9,3.50,24.6,40.9,21.7,1.78,73.1,0.45,0.70,63.6,0.45,0.06,54.4,231.4,137.8,5.03,1.24,0.25,0.45,0.64,61.1,58.5,95.7,2.29,Matches
2282,Aitor Ruibal\a55d8df5,es ESP,FWDF,Betis,es La Liga,26-044,1996,9.5,49.9,1.05,8.63,22.2,22.6,3.16,47.5,1.58,3.68,42.9,2.11,0.11,34.4,147.2,96.3,5.89,1.16,0.42,1.37,1.68,46.7,35.3,75.5,5.68,Matches
2283,Fabián Ruiz Peña\c0c7ff58,es ESP,MF,Napoli,it Serie A,26-032,1996,24.8,92.7,2.90,20.0,55.8,23.3,1.45,90.8,0.44,0.60,73.3,0.44,0.08,64.7,291.0,156.6,6.21,2.34,0.36,0.77,0.69,78.5,74.8,95.3,3.35,Matches
2284,Isma Ruiz\6e36226f,es ESP,MF,Granada,es La Liga,21-080,2001,3.1,48.7,1.29,11.9,29.7,9.03,1.61,48.4,0.65,0.65,100.0,0.65,0.00,31.9,162.3,76.1,4.19,0.32,0.32,0.32,0.97,33.9,31.9,94.3,0.65,Matches
2285,Víctor Ruiz\b3dc6eca,es ESP,DF,Betis,es La Liga,33-100,1989,15.8,66.8,9.24,35.2,33.9,1.96,0.76,64.8,0.13,0.13,100.0,0.13,0.00,37.7,211.8,101.9,2.03,0.25,0.00,0.19,0.19,43.1,42.3,98.2,0.13,Matches
2286,Gerónimo Rulli\625c144a,ar ARG,GK,Villarreal,es La Liga,29-350,1992,28.0,43.1,35.8,43.0,0.21,0.00,0.00,33.9,0.00,0.00,,0.00,0.00,24.9,115.1,71.9,0.00,0.00,0.00,0.04,0.07,23.9,23.7,99.4,0.00,Matches
2287,Lukas Rupp\3faa1780,de GER,MF,Norwich City,eng Premier League,31-117,1991,6.9,62.6,3.48,16.1,33.2,17.8,2.03,62.2,1.16,1.59,72.7,1.16,0.14,45.4,212.8,104.1,5.36,1.88,0.00,1.59,2.75,48.4,43.5,89.8,3.62,Matches
2288,Alessandro Russo\7152082d,it ITA,MF,Salernitana,it Serie A,18-241,2003,0.3,26.7,3.33,10.0,16.7,6.67,3.33,26.7,0.00,0.00,,0.00,0.00,16.7,213.3,176.7,6.67,3.33,0.00,0.00,0.00,20.0,10.0,50.0,3.33,Matches
2289,Franco Russo\b75ac54b,ar ARG,DF,Mallorca,es La Liga,27-192,1994,16.1,51.3,9.01,28.6,22.9,2.30,1.12,48.9,0.25,0.43,57.1,0.25,0.06,24.7,140.6,57.0,1.43,0.12,0.00,0.37,0.12,28.1,26.5,94.3,0.31,Matches
2290,Georginio Rutter\c64c01fc,fr FRA,FWMF,Hoffenheim,de Bundesliga,20-015,2002,17.3,35.6,0.58,3.18,14.3,20.2,5.78,35.1,1.68,3.99,42.0,1.97,0.17,23.4,108.4,68.8,3.35,0.81,0.98,3.99,2.20,42.9,26.0,60.4,7.40,Matches
2291,Mathew Ryan\4535e4bb,au AUS,GK,Real Sociedad,es La Liga,30-027,1992,3.0,39.7,34.7,38.7,1.00,0.00,0.00,28.7,0.00,0.00,,0.00,0.00,18.3,100.0,42.0,0.00,0.00,0.00,0.00,0.00,16.3,16.3,100.0,0.00,Matches
2292,Julian Ryerson\009a4f60,no NOR,DF,Union Berlin,de Bundesliga,24-169,1997,14.0,52.8,2.64,15.4,24.0,17.5,1.86,43.7,1.29,2.43,52.9,1.64,0.21,30.2,164.6,82.2,3.71,1.79,0.21,1.07,0.86,29.8,25.7,86.3,1.36,Matches
2293,Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,de Bundesliga,29-274,1992,7.0,38.0,33.0,37.9,0.14,0.00,0.00,29.7,0.00,0.00,,0.00,0.00,22.7,109.3,54.4,0.00,0.00,0.00,0.00,0.00,20.9,20.6,98.6,0.00,Matches
2294,José Sá\903b6e8b,pt POR,GK,Wolves,eng Premier League,29-108,1993,34.0,32.7,30.1,32.4,0.26,0.00,0.00,23.6,0.03,0.03,100.0,0.03,0.00,14.8,87.1,48.1,0.00,0.00,0.00,0.00,0.00,10.9,10.9,100.0,0.00,Matches
2295,Roli Pereira de Sa\60f58477,fr FRA,MF,Nantes,fr Ligue 1,25-146,1996,6.4,52.0,0.78,8.59,30.3,15.8,2.03,50.8,1.56,2.19,71.4,1.72,0.16,35.5,193.8,102.8,5.00,1.41,0.63,1.09,1.09,42.2,34.5,81.9,3.44,Matches
2296,Youssouf Sabaly\fbbb9269,sn SEN,DF,Betis,es La Liga,29-061,1993,5.8,71.2,3.28,20.0,35.7,20.3,1.38,63.6,0.69,1.90,36.4,0.86,0.00,47.2,213.8,120.3,5.52,1.55,0.34,2.07,0.86,49.5,46.4,93.7,3.10,Matches
2297,Mathys Saban\7d9f3d69,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19-355,2002,0.8,37.5,1.25,5.00,11.3,23.8,2.50,37.5,0.00,2.50,0.0,0.00,0.00,26.3,121.3,80.0,7.50,0.00,0.00,5.00,3.75,38.8,27.5,71.0,7.50,Matches
2298,Stefano Sabelli\0ccac09c,it ITA,DF,Genoa,it Serie A,29-112,1993,3.9,53.8,3.85,19.0,20.5,17.4,1.28,46.2,0.51,0.51,100.0,0.51,0.26,27.9,148.5,95.1,5.38,1.03,0.26,2.82,1.28,34.4,29.5,85.8,1.54,Matches
2299,Abdelhamid Sabiri\4830e0af,de GER,MFFW,Sampdoria,it Serie A,25-158,1996,7.2,50.0,0.28,4.17,28.9,20.0,2.50,47.9,1.53,3.06,50.0,1.67,0.14,36.5,146.4,56.5,3.06,1.39,0.14,2.78,2.08,47.6,36.4,76.4,5.83,Matches
2300,Marcel Sabitzer\e280527c,at AUT,MFDF,Bayern Munich,de Bundesliga,28-049,1994,10.0,82.8,2.40,17.7,43.8,24.5,3.90,78.7,0.10,0.50,20.0,0.10,0.10,56.0,201.6,93.1,5.00,1.10,0.40,1.40,1.50,66.4,60.3,90.8,4.90,Matches
2301,Marcel Sabitzer\e280527c,at AUT,MFFW,RB Leipzig,de Bundesliga,28-049,1994,0.5,108.0,0.00,16.0,56.0,38.0,2.00,100.0,2.00,2.00,100.0,2.00,0.00,78.0,330.0,180.0,4.00,2.00,0.00,0.00,2.00,84.0,78.0,92.9,4.00,Matches
2302,Falaye Sacko\6388e356,ml MLI,DF,Saint-Étienne,fr Ligue 1,27-004,1995,6.1,66.6,4.10,29.3,36.2,4.92,0.16,62.3,0.00,0.00,,0.00,0.00,46.6,249.8,138.0,4.10,0.98,0.16,0.33,0.49,43.0,42.8,99.6,0.16,Matches
