"","Player","Position","Squad","Competition","90s","PCmp","xA","ProgP","PrgDist","KP","FinalThird","UPress","SCA90","TklW","Pressures","Press%","Int","Clr","Blocks","DribTkl","Touches","TouchesMid","Carries","Drib%","AWon","GpSh"
"248","Ashley Westwood\495945ef","MF","Burnley","eng Premier League",25.4,70.1,0.14,4.21,237.8,1.22,4.17,5.83,2.16,0.91,17.1,3.62,1.69,0.79,0.75,0.51,55.3,32.2,30.1,55,0.39,0
"249","Georginio Wijnaldum\eb58eef0","MF","Paris S-G","fr Ligue 1",17.3,90.1,0.12,1.68,91.6,0.52,2.31,7.17,1.21,0.69,11.6,3.58,0.64,0.46,1.16,0.4,49.5,27.6,36.8,41.7,0.75,0.05
"250","Joe Willock\a3b03921","MF","Newcastle Utd","eng Premier League",22.6,80.8,0.05,1.64,76.1,0.71,1.46,5.18,2.03,1.95,23.7,5.22,1.33,0.71,1.68,0.97,37.3,18.4,26.4,44.1,0.84,0.06
"251","Xeka\f3600c02","MF","Lille","fr Ligue 1",18,79.2,0.08,3.28,190.1,0.83,3.28,7.11,1.61,1.89,22.4,6.83,2,2.22,1.5,1.22,60.8,38.2,36.3,40,1.22,0.14
"252","Granit Xhaka\e61b8aee","MF","Arsenal","eng Premier League",22.2,86.8,0.08,5.68,250.7,1.26,6.13,7.75,3.07,0.99,11.8,3.33,1.22,1.04,1.26,0.59,66.9,39.2,45.3,70,1.53,0.04
"253","Zaydou Youssouf\e2f9bb5f","MF","Saint-Étienne","fr Ligue 1",15.6,84.4,0.04,3.33,156,0.64,3.01,8.27,1.92,2.05,17.7,6.54,1.67,0.83,1.22,0.77,55.6,36.2,41.5,70.3,0.83,0
"254","Andre-Frank Zambo Anguissa\6bb2c084","MF","Napoli","it Serie A",19.4,89.5,0.08,4.54,195.4,1.13,5.57,8.09,2.89,1.65,21.7,7.01,1.96,1.24,1.29,1.03,70.1,43.2,49,63,1.19,0
"255","Piotr Zieliński\a5296e55","MF","Napoli","it Serie A",22,84.1,0.14,4,174.1,2.14,3.55,7.32,3.87,0.64,14.5,4.14,0.64,0.14,1.14,0.41,58.3,31.4,38.3,53.8,0.27,0.12
"256","Martín Zubimendi\3ee0dd59","MF","Real Sociedad","es La Liga",24.8,85.1,0.04,3.47,205.2,0.56,4.11,8.83,1.29,1.01,13,4.15,1.81,2.42,1.37,0.77,59.1,39,36.9,57.1,2.58,0.07
"257","Szymon Żurkowski\4e1d5e59","MF","Empoli","it Serie A",23.2,80.6,0.05,2.59,111.6,0.78,2.16,8.71,2.46,1.85,18.6,5.13,2.2,1.08,2.07,0.73,52.4,26.1,38.1,67.6,1.08,0.13
"258","Martin Ødegaard\79300479","MF","Arsenal","eng Premier League",26.9,84.5,0.22,5.06,172.5,2.38,3.2,8.1,4.38,0.82,19,5.06,0.63,0.41,0.59,0.37,59.9,30.5,42.4,53.3,0.59,0.14
